  #time                      mass                       x-momentum                 y-momentum                 z-momentum                 E_total                    E_kinetic                  E_internal                                           
  5.860191612938931327E-005  9.999999999999997780E-001  4.336808689942017736E-019  4.336808689942017736E-019  0.000000000000000000E+000  9.685078409804068755E-001  2.159414561244024297E-002  9.469136953679662128E-001
  6.762445126533303216E-005  9.999999999999997780E-001  6.505213034913026604E-019 -1.084202172485504434E-018  0.000000000000000000E+000  9.685078409804068755E-001  2.550458114185975150E-002  9.430032598385467146E-001
  7.754923991487111751E-005  9.999999999999998890E-001 -6.505213034913026604E-019  0.000000000000000000E+000  0.000000000000000000E+000  9.685078409804066535E-001  2.984242565289625324E-002  9.386654153275092449E-001
  8.846650742936303037E-005  1.000000000000000000E+000 -3.252606517456513302E-019  3.903127820947815962E-018  0.000000000000000000E+000  9.685078409804066535E-001  3.458595414043266758E-002  9.339218868399734585E-001
  1.004755016953041318E-004  9.999999999999997780E-001  9.757819552369539906E-019  0.000000000000000000E+000  0.000000000000000000E+000  9.685078409804066535E-001  3.975377300571246442E-002  9.287540679746940642E-001
  1.136853953878393380E-004  9.999999999999995559E-001 -2.818925648462311528E-018  8.673617379884035472E-019  0.000000000000000000E+000  9.685078409804069866E-001  4.541902856866125715E-002  9.230888124117453408E-001
  1.282162784496280810E-004  1.000000000000000000E+000  1.734723475976807094E-018  3.469446951953614189E-018  0.000000000000000000E+000  9.685078409804077637E-001  5.160297209001536711E-002  9.169048688903920219E-001
  1.442002498175957092E-004  9.999999999999997780E-001  3.903127820947815962E-018 -5.204170427930421283E-018  0.000000000000000000E+000  9.685078409804068755E-001  5.834049467956180929E-002  9.101673463008463916E-001
  1.613474151697181288E-004  9.999999999999997780E-001  2.385244779468109755E-018 -3.903127820947815962E-018  0.000000000000000000E+000  9.685078409804096511E-001  6.552794800983817447E-002  9.029798929705694643E-001
  1.784896253899545223E-004  9.999999999999998890E-001  1.734723475976807094E-018 -3.469446951953614189E-018  0.000000000000000000E+000  9.685078409804099842E-001  7.259707830054937250E-002  8.959107626798603619E-001
  1.955904311285236311E-004  1.000000000000000000E+000 -1.084202172485504434E-018  6.505213034913026604E-018  0.000000000000000000E+000  9.685078409804109834E-001  7.956792050686603557E-002  8.889399204735444204E-001
  2.126565763528807365E-004  1.000000000000000000E+000 -1.517883041479706208E-018 -3.903127820947815962E-018  0.000000000000000000E+000  9.685078409804125377E-001  8.646249416920587239E-002  8.820453468112061657E-001
  2.296494260242622914E-004  9.999999999999997780E-001 -4.336808689942017736E-019 -5.204170427930421283E-018  0.000000000000000000E+000  9.685078409804128707E-001  9.320201895691636318E-002  8.753058220234963827E-001
  2.465867130951550552E-004  9.999999999999998890E-001 -5.204170427930421283E-018  3.469446951953614189E-018  0.000000000000000000E+000  9.685078409804118715E-001  9.981402169178842099E-002  8.686938192886251020E-001
  2.635024254764684417E-004  1.000000000000000000E+000  5.637851296924623057E-018 -3.469446951953614189E-018  0.000000000000000000E+000  9.685078409804142030E-001  1.063108121893367036E-001  8.621970287910779573E-001
  2.803983765985225570E-004  9.999999999999998890E-001  8.239936510889833698E-018  6.938893903907228378E-018  0.000000000000000000E+000  9.685078409804150912E-001  1.126398098224018623E-001  8.558680311580136868E-001
  2.972429491808394205E-004  9.999999999999995559E-001 -1.301042606982605321E-018 -6.938893903907228378E-018  0.000000000000000000E+000  9.685078409804155353E-001  1.188052775387426485E-001  8.497025634416733864E-001
  3.140393251601685995E-004  9.999999999999995559E-001 -4.336808689942017736E-019 -1.387778780781445676E-017  0.000000000000000000E+000  9.685078409804170896E-001  1.248129709131855919E-001  8.436948700672310952E-001
